University Name,City,Programe/Course,Tuition Fee/ Per year in EUR for EU Students,Tuition Fee/Per Year in EUR for Non-EU students,Deadline,Programme Duration,Accomodation,Category,Level
International Business School Budapest,Budapest,Strategic International Management with specialization in Hospitality ,6400,6400,,1.5,Yes,Business and management,Masters

Wekerle Business School ,Budapest ,Commerce and Marketing ,5600,5600,,3.5,No,Business and management,Bachelors
Wekerle Business School ,Budapest ,Business Administration and Management ,5600,5600,,3.5,No,Business and management,Bachelors
Wekerle Business School ,Budapest ,Business Informatics,6200,6200,,3.5,No,Business and management,Bachelors
Wekerle Business School ,Budapest ,Marketing Strategy and Innovation ,8000,8000,,1,No,Business and management,Masters
Wekerle Business School ,Budapest ,MBA ,7000,7000,,2,No,Business and management,Masters
Wekerle Business School ,Budapest ,Human Resource Management ,5600,5600,,3.5,No,Business and management,Bachelors
Wekerle Business School ,Budapest ,International Economics,6000,6000,,4,No,Business and management,BAchelors
University Name,City,Programe/Course,Tuition Fee/ Per year in EUR for EU Students,Tuition Fee/Per Year in EUR for Non-EU students,Deadline (Sept 2025),Programme Duration,Accomodation,Category,Level






New European College ,Munich ,Business Administration Financial Services Managament ,13500,13500,3-Apr,3,No,Business and management,Bachelors
New European College ,Munich ,Business Administration Marketing and Communication ,13500,13500,3-Apr,3,No,Business and management,Bachelors
New European College ,Munich ,Business Administration Economics and Management ,13500,13500,3-Apr,3,No,Business and management,Bachelors
New European College ,Munich ,Business Management Entreprenuership and Innovation ,14600,14600,3-Apr,1.5,No,Business and management,Masters
New European College ,Munich ,Business Management Digital Marketing and Communication,14600,14600,3-Apr,1.5,No,Business and management,Masters
New European College ,Munich ,MBA International Management ,15890,15890,3-Apr,1.5,No,Business and management,Masters
New European College ,Munich ,MBA Finance ,15890,15890,3-Apr,1.5,No,Business and management,Masters
New European College ,Munich ,MBA Entrepreneurship and Innovation ,15890,15890,3-Apr,1.5,No,Business and management,Masters

        Berlin School of Business and Innovation ,Berlin,BSc (Hons) International Business & Management,"€ 28,350","€ 28,350",Rolling,3,No,Business and management,Bachelors
        Berlin School of Business and Innovation ,Berlin,BA (Hons) Tourism and Hospitality Management,"€ 28,350","€ 28,350",Rolling,3,No,Business and management,Bachelors
        Berlin School of Business and Innovation ,Berlin,BSc (Hons) Computer Sciences and Digitisation,"€ 28,350","€ 28,350",Rolling,3,No,Computer science and IT,Bachelors
        Berlin School of Business and Innovation ,Berlin,BSc in Psychology - Psychosocial Disciplines,"€ 28,350","€ 28,350",Rolling,3,No,Social sciences ,Bachelors
        Berlin School of Business and Innovation ,Berlin,Global MBA,"€ 14,150","€ 14,150",Rolling,1.5,No,Business and management,Masters 
        Berlin School of Business and Innovation ,Berlin,MSc Digital Marketing,"€ 12,600","€ 12,600",Rolling,1.5,No,Business and management,Masters 
        Berlin School of Business and Innovation ,Berlin,MSc Finance and Investment,"€ 12,600","€ 12,600",Rolling,1.5,No,Business and management,Masters 
        Berlin School of Business and Innovation ,Berlin,"MA Tourism, Hospitality and Event Management","€ 12,600","€ 12,600",Rolling,1.5,No,Business and management,Masters 
        Berlin School of Business and Innovation ,Berlin,MSc Data Analytics,"€ 12,600","€ 12,600",Rolling,1.5,No,Computer science and IT,Masters 
        Berlin School of Business and Innovation ,Berlin,MSc Information Technology Management,"€ 12,600","€ 12,600",Rolling,1.5,No,Computer science and IT,Masters 
        Berlin School of Business and Innovation ,Berlin,MSc in International Health Management,"€ 12,000","€ 12,000",Rolling,1.5,No,Business and management,Masters 
        Berlin School of Business and Innovation ,Berlin,MA in Energy Management,"€ 12,000","€ 12,000",Rolling,1.5,No,Business and management,Masters 
        Berlin School of Business and Innovation ,Berlin,MSc in Engineering Management,"€ 12,000","€ 12,000",Rolling,1.5,No,Business and management,Masters 
        Berlin School of Business and Innovation ,Berlin,MA in Logistics,"€ 12,000","€ 12,000",Rolling,1.5,No,Business and management,Masters 
        Berlin School of Business and Innovation ,Berlin,MBA,"€ 18,000","€ 18,000",Rolling,2,No,Business and management,Masters 
        Berlin School of Business and Innovation ,Berlin,MA in Innovation and Entrepreneurship (MAIE),"€ 15,000","€ 15,000",Rolling,2,No,Business and management,Masters 
        Berlin School of Business and Innovation ,Berlin,MSc in Psychology - Cognitive Processes and Technologies,"€ 15,000","€ 15,000",Rolling,2,No,Social sciences ,Masters 
        Berlin School of Business and Innovation ,Berlin,DBA,"€ 15,000","€ 15,000",Rolling,4,No,Business and management,
        Berlin School of Business and Innovation ,Berlin,BSc (Hons) International Business & Management,"€ 28,350","€ 28,350",Rolling,3,No,Business and management,Bachelors
        Berlin School of Business and Innovation ,Berlin,"MA Tourism, Hospitality and Event Management","€ 12,600","€ 12,600",Rolling,1.5,No,Business and management,Masters
        Berlin School of Business and Innovation ,Berlin,Global MBA,"€ 14,150","€ 14,150",Rolling,1.5,No,Business and management,Masters
        Berlin School of Business and Innovation ,Berlin,MA in Innovation and Entrepreneurship,"€ 15,000","€ 15,000",Rolling,1.5,No,Business and management,Masters
        Berlin School of Business and Innovation ,Berlin,BA in Economics and Business Administration,"€ 21,000","€ 21,000",Rolling,3,No,Business and management,Bachelors
        Berlin School of Business and Innovation ,Berlin,"MA in International Tourism, Hospitality and Event Management","€ 8,000","€ 8,000",Rolling,1.5,No,Business and management,Masters
        Berlin School of Business and Innovation ,Berlin,Global MBA,"€ 9,000","€ 9,000",Rolling,1.5,No,Business and management,Masters
        Berlin School of Business and Innovation ,Berlin,BSc (Hons) International Business & Management,"€ 28,350","€ 28,350",Rolling,3,No,Business and management,Bachelors
        Berlin School of Business and Innovation ,Berlin,"MA Tourism, Hospitality and Event Management","€ 12,600","€ 12,600",Rolling,1.5,No,Business and management,Masters
        Berlin School of Business and Innovation ,Berlin,Global MBA,"€ 14,150","€ 14,150",Rolling,1.5,No,Business and management,Masters
        Berlin School of Business and Innovation ,Berlin,MA in Innovation and Entrepreneurship,"€ 15,000","€ 15,000",Rolling,2,No,Business and management,Masters
        Berlin School of Business and Innovation ,Berlin,BA (Hons) Graphic Design,"€ 36,000","€ 36,000",Rolling,3,No,Arts,Bachelors
        Berlin School of Business and Innovation ,Berlin,BA (Hons) Illustration,"€ 36,000","€ 36,000",Rolling,3,No,Arts,Bachelors
        Berlin School of Business and Innovation ,Berlin,BA (Hons) Animation,"€ 36,000","€ 36,000",Rolling,3,No,Arts,Bachelors
